HTCODE	Description	Htype
HT190	Economic hazards encompass, amongst others, national and regional economic crisis (e.g., inflation and disruptions on import or export of goods) and the escalation of economic and resource nationalisation or privatisation that affect the city, discontinuities on economic activities and businesses, and the excessive unemployment or informal employment rate at local level.	Economic Hazard
HT200	Cultural hazards encompass, amongst others, the destruction of cultural heritage and symbols, and tensions between different ethnic groups.	Cultural Hazard
HT210	Mass population migration is understood as the movement of people, in and out of the city, with the intention of settling in, temporarily or permanently.   It includes mass refugees movements, economic, labour, political and cultural migration and both voluntary and forced migration.	Mass Population Migration
HT220	Political hazards include but are not limited to tensions between political entities and between political entities and social groups (e.g., disturbances, strikes and protests), political crisis that impact the city's normal functioning (e.g., political deadlocks) and widespread corruption.	Political Hazard
HT230	Non-transmissible physical and chemical health hazards and diseases attributed to a combination of lifestyle factors, genetic pre-dispositions and environmental and occupational exposure to hazardous substances (e.g., asbestos, nanomaterials, heavy metals chemicals and toxic fumes). It includes both physical and mental chronic diseases.	Health Hazard
HT240	The subtype crime encompasses events such as waves of violent personal crimes, waves of crimes against property, spread organised crime and illicit trade, and crimes against humanity. Overspread crime in a near-by region or country may have important impacts on the city.	Crime
HT250	Cyber-attacks are offensive maneuvers, employed by individuals or organisations, directed at computers or other devices, or attacks where computers or other devices are integral to the offence. These include hacking, massive fraud and data theft, espionage and sabotage, etc.	Cyber-attack
HT260	Armed or violent conflicts that affect the city, including revolutions, ethnic conflicts and wars. An armed conflict in a near-by region or country may have important impacts on the city.	Armed/Violent Conflict
HT270	Terrorism is the systematic use of terror, through violent acts or false alarms, exploiting human fear, as a way of trying to achieve political, ethnical, economic and/or religious goals. It may encompass biological, chemical, radiological or bomb attacks, hijacking, shootings, murders.	Terrorism
HT280	Industrial and mining incidents encompass events such as the collapse, fire, explosion and primary radiation release from these sites and facilities, including the collapse of residual industrial and mining dams and landfills. It may happen due to accidents, negligence, incompetence, or has a consequence of another hazard (e.g., earthquakes). It further comprises chemical spills, gas leaks, oil spills, gas flaring and the poisoning of the environment due to industrial activities.	Industrial and Mining Incident
HT290	Non-industrial incidents encompass explosions and fires on non-industrial settings, as well as transport incidents on land, air and water (including the transport of hazardous material). The impact of near-Earth objects and space debris is also taken into account.	Non-Industrial Incident
HT310	Failure of infrastructure’ is a major infrastructure breakdown with system-wide implications, usually due to the chronic failure of adequately investing in, upgrading or securing infrastructure systems. It can also be the consequence of natural or technological hazards, accident, human error or equipment malfunction. It comprises major disruptions and the breakdown of basic infrastructure, such as water, energy, solid waste, wastewater and communication systems and the collapse of transport systems; the collapse of buildings and urban structures; the breakdown of the governance, health, education, emergency and rescue, safety and justice, financial and business logistic systems. Housing crisis and rapid urbanisation are also encompassed in this hazard subtype.	Failure of Infrastructure
HT320	It encompasses food, water and energy critical shortages, as well as instabilities in quantity and/or quality of the resource(s) that disrupt the city's functions. Discontinuities in both availability (i.e., in production, distribution or trade) and on the access to the resource(s) in terms of affordability or allocation are considered. Situations where stocks of these goods/services are available in the city, but due to high prices, the majority of the population or businesses do not have access to them, are also considered in this hazard subtype.	Failure of Supplies
