Parent	Short Desc	Long Desc	Help Text	Placeholder	QTYPE	ORDER	Not Applicable	OPTION	MoV	Dimension	Units	[+]
6.3.4	Development Plan	Development Plan			SELECT_SINGLE	4100		SC4	NA	Functional		No
6.3.4	For what spatial scale has the development plan been developed?	For what spatial scale has the development plan been developed?			SELECT_MULTI	4200		MC2	NS	Functional		No
6.3.5	Contingency Plan	Contingency Plan			SELECT_SINGLE	4300		SC5	NA	Functional		No
6.3.5	For what spatial scale has the contingency plan been developed?	For what spatial scale has the contingency plan been developed?			SELECT_MULTI	4400		MC2	NS	Functional		No
6.4.1	Hospital beds	Hospital beds			CHAR_FIELD	4700		FF	A	Physical	Yes	No
6.4.1	Physicians	Physicians			CHAR_FIELD	4800		FF	A	Physical	Yes	No
6.4.1	Nursing personnel	Nursing personnel			CHAR_FIELD	4900		FF	A	Physical	Yes	No
6.4.1	Population covered by universal health care provision	Population covered by universal health care provision			CHAR_FIELD	5000		FF	NA	Physical	Yes	No
6.4.1	If coverage not 100%, please specify reason(s)	If coverage not 100%, please specify reason(s)			SELECT_MULTI	5100		MC1	A	Physical		No
6.4.2	Local Government Jurisdiction	Local Government Jurisdiction			SELECT_SINGLE	5200		SC2	NA	Organisational		Yes
6.4.3	What level of disruptions does the health care system face?	What level of disruptions does the health care system face?			SELECT_SINGLE	5400		SC3	NYS	Functional		No
6.4.4	Development Plan	Development Plan			SELECT_SINGLE	5500		SC4	NA	Functional		No
6.4.4	For what spatial scale has the development plan been developed?	For what spatial scale has the development plan been developed?			SELECT_MULTI	5600		MC2	NS	Functional		No
6.4.5	Contingency Plan	Contingency Plan			SELECT_SINGLE	5700		SC5	NA	Functional		No
6.4.5	For what spatial scale has the contingency plan been developed?	For what spatial scale has the contingency plan been developed?			SELECT_MULTI	5800		MC2	NS	Functional		No
6.5.1	Resources	Available human resources in law enforcement unit(s) in terms of number of officers.			CHAR_FIELD	6000		FF	A	Physical		Yes
6.5.2	Local Government Jurisdiction	Local Government Jurisdiction			SELECT_SINGLE	6100		SC2	NA	Organisational		Yes
6.5.3	Average law enforcement response time	Average law enforcement response time			CHAR_FIELD	6300		FF	A	Functional	Yes	No
6.5.3	Prison population	Prison population			CHAR_FIELD	6400		FF	A	Functional	Yes	No
6.5.3	Average court case processing time	Average court case processing time			CHAR_FIELD	6500		FF	A	Functional	Yes	No
6.5.3	Pre-trial detention	Pre-trial detention			CHAR_FIELD	6600		FF	A	Functional	Yes	No
6.5.4	Development Plan	Development Plan			SELECT_SINGLE	6700		SC4	NA	Functional		Yes
6.5.4	For what spatial scale has the development plan been developed?	For what spatial scale has the development plan been developed?			SELECT_MULTI	6800		MC2	NS	Functional		No
6.5.5	Contingency Plan	Contingency Plan			SELECT_SINGLE	6900		SC5	NA	Functional		No
6.5.5	For what spatial scale has the contingency plan been developed?	For what spatial scale has the contingency plan been developed?			SELECT_MULTI	7000		MC2	NS	Functional		No
6.6.1	Existence of supporting measures for the following	Existence of supporting measures for the following			SELECT_MULTI	7300		MC4	NY	Physical		No
6.6.1	Population not covered by social security measures	Population not covered by social security measures			CHAR_FIELD	7400		FF	A	Physical	Yes	No
6.6.2	Local Government Jurisdiction	Local Government Jurisdiction			SELECT_SINGLE	7500		SC2	NA	Organisational		Yes
6.6.3	Are there significant disruptions in the social care provisions?	Are there significant disruptions in the social care provisions?			SELECT_SINGLE	7700		SC1	NA	Functional		No
6.6.3	If so, please indicate reason(s)	If so, please indicate reason(s)			SELECT_MULTI	7800		MC1	NYS	Functional		No
6.6.4	Development Plan	Development Plan			SELECT_SINGLE	7900		SC4	NA	Functional		Yes
6.6.4	For what spatial scale has the development plan been developed?	For what spatial scale has the development plan been developed?			SELECT_MULTI	8000		MC2	NS	Functional		No
6.6.5	Contingency Plan	Contingency Plan			SELECT_SINGLE	8100		SC5	NA	Functional		Yes
6.6.5	For what spatial scale has the contingency plan been developed?	For what spatial scale has the contingency plan been developed?			SELECT_MULTI	8200		MC2	NS	Functional		No
