Indicator	Type	ORDER	Description
1.1.4	Consideration(s)	150	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
1.1.4	Consideration(s)	160	The developments can include institutional (e.g. new policies), operational (e.g. better demand management) and/or infrastructural (e.g. extension of the network) measures.
1.1.4	Example(s)	170	A city currently performing extension of its electricity network, based on the development plan, whilst feeding back newly-acquired information into the plan, has its development plan categorised as 'under implementation, with regular monitoring and revision'.
1.1.4	Example(s)	180	A plan that does not include the elements cited in the description, or if the plan is still in its conceptual or feasibility study stage, will be considered as 'under development'.
1.1.5	Consideration(s)	190	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the electricity network should be explicit.
1.1.5	Consideration(s)	200	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
1.1.5	Example(s)	210	If the plan has been elaborated, drills have been conducted, and defined roles and responsibilities have been assigned and informed, it is considered as 'implemented'.
1.1.5	Example(s)	220	If the only available document is a national plan, but the relevant local actors have not been informed and responsibilities assigned, it should be considered as 'developed but not implemented', and the 'national' level should be selected.
1.2	General Consideration(s)	230	The different end-uses (e.g. machinery, vehicles, lighting, cooking, heating, industrial) should be taken into account. Consider only fossil (e.g. gasoline, diesel, etc.) and liquid/non-solid (e.g. kerosene, ethanol, or other biofuels) fuels, disregarding solid (e.g. wood, charcoal, and agricultural residues) sources.
1.2.1	Consideration(s)	240	Coverage data can be given in terms of portion of the population with access to fuel in relation to the total population, or regarding the area of the city covered by the service.
1.2.1	Consideration(s)	250	For spare capacity provision, the answer should consider if the current system can accommodate the anticipated growth in demand within the planned future.
1.2.1	Example(s)	260	If a certain community corresponding to 20% of the total population in the city does not have access to fuel due to its road access being in poor conditions, the answer should be 80% and the reason 'Geographical/environmental' should be selected.
1.2.2	Consideration(s)	270	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.2.2	Consideration(s)	280	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the fuel supply, including the coordination of the different stakeholders.
1.2.2	Example(s)	290	A city can 'fully control and operate' the fuel supply for a government-run bus enterprise, whilst just being 'informed' on private suppliers providing fuel for residents.
1.2.3	Consideration(s)	300	The answer should take into consideration the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the city.
1.2.3	Example(s)	310	For the general public, the shortage of supply can have negative effects in case there are no means for fuel storage (including private).
1.2.3	Example(s)	320	If supply for industrial facilities needs to be continuous, any interruption can be 'major'.
1.2.4	Consideration(s)	330	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
1.2.4	Consideration(s)	340	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
1.2.4	Consideration(s)	350	The developments can include institutional (e.g. new policies), operational (e.g. better demand management) and/or infrastructural (e.g. construction of new storage facilities) measures.
1.2.4	Example(s)	360	A city currently issuing new permits for fuel stations in a previously underserviced area, based on the development plan, is categorised as 'under implementation'.
1.2.4	Example(s)	370	A plan that does not include the elements cited in the description, or if the plan is still in its conceptual or feasibility study stage, will be considered as 'under development'.
1.2.5	Consideration(s)	380	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the fuel supply should be explicit.
1.2.5	Consideration(s)	390	The strategy can consider the restoration of the affected operators or the provision of alternative sources.
1.2.5	Consideration(s)	400	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
1.2.5	Example(s)	410	If the plan has been elaborated, and procedures have been established with alternative suppliers, it is considered as 'implemented'.
1.2.5	Example(s)	420	If the only available document is a national plan, but the relevant local actors have not been informed and responsibilities assigned, it should be considered as 'developed but not implemented', and the 'national' level should be selected.
1.3	General Consideration(s)	430	All sources of gas supply and the different end-uses should be considered in the assessment. This includes natural gas (usually distributed via piped networks) and liquefied petroleum gas (LPG) (usually distributed in cylinders); and uses such as industrial, heating, cooking and vehicle fuel.
1.3.1	Consideration(s)	440	Note that there are different types of piped distribution networks according to the pipes' diameter and gas pressure. Natural gas can be distributed from gas terminals, producing wells or fields, directly to homes and industries or indirectly through gas distribution companies.
1.3.1	Consideration(s)	450	Coverage data can be given in terms of fraction of population attended in relation to the total population, or the area of the city covered by the supply system(s).
1.3.1	Consideration(s)	460	For spare capacity provision, the answer should consider if the current system can accommodate the anticipated growth in demand within the planned future. Take into consideration the existence of storage facilities.
1.3.1	Example(s)	470	The population with access to any form of supply can be 100%; however, only 60% are connected to the municipal network, whilst the remaining are individual/alternative sources such as LPG cylinders.
1.3.2	Consideration(s)	480	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.3.2	Consideration(s)	490	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the gas supply, including the coordination of the different stakeholders.
1.3.2	Example(s)	500	A city can 'exert control' over the operation of the natural gas supply network for an industrial complex, whist 'exerting influence' over the distribution of LPG cylinders for dwellers by enforcing safety standards.
1.3.3	Consideration(s)	510	Note that there different types of piped distribution networks according to the pipes' diameter and gas pressure. Natural gas can be distributed from gas terminals, producing wells or fields, directly to homes and industries or indirectly through gas distribution companies.
1.3.3	Consideration(s)	520	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the city.
1.3.3	Example(s)	530	Shortages in the domestic supply of cylinders often only represent 'no major disruptions' as long as operators have good storage capabilities. On the other hand, for industrial use, even short interruptions in the supply can result in 'major disruptions'.
1.3.3	Example(s)	540	Seasonal disruptions' would be the answer in cases where peaks of demand for heating during winter times cause the system to eventually collapse temporarily.
1.3.4	Consideration(s)	550	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
1.3.4	Consideration(s)	560	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
1.3.4	Consideration(s)	570	The developments can include institutional (e.g. new policies), operational (e.g. enforcement of safety standards) and/or infrastructural (e.g. extension of the supply network) measures.
1.3.4	Example(s)	580	A city currently studying the licencing of a new storage facility, whilst looking for sources for funding, is categorised as having a plan 'under development'.
1.3.4	Example(s)	590	New regulations on distribution being monitored and reviewed, based on operators' feedback, exemplify a plan that is 'under implementation, with regular monitoring and revision'.
1.3.5	Consideration(s)	600	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the gas supply should be explicit.
1.3.5	Consideration(s)	610	The strategy can consider the restoration of the affected operators or the provision of alternative sources of gas supply.
1.3.5	Consideration(s)	620	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
1.3.5	Example(s)	630	If the plan has been elaborated, alternatives have been verified, and defined roles and responsibilities have been assigned and informed, it is considered as 'implemented'.
1.3.5	Example(s)	640	If the only available document is a regional plan regarding industrial gas supply, but the relevant local actors have not been informed and responsibilities assigned, it should be considered as 'developed but not implemented', and the 'regional' level should be selected.
1.4	General Consideration(s)	650	All solid waste collection and treatment systems should be included in the assessment.
1.4	General Consideration(s)	660	Solid waste encompasses household waste, streets and parks cleaning, agricultural waste, institutional (e.g. hospitals, schools, government buildings, etc.), commercial, industrial and office building waste, construction and demolition waste.
1.4	General Consideration(s)	670	Hazardous wastes are wastes that, owing to their toxic, infectious, radioactive or flammable properties pose a substantial actual or potential hazard to the health of humans and other living organisms and the environment. Consider all hazardous waste generators such as hospitals, industries, laboratories, textile manufacturing, vehicles repair shops, etc.
1.4.1	Consideration(s)	680	Coverage data can be given in terms of fraction of the population that are covered by a waste collection system in relation to total population, or regarding area of the city covered by the service.
1.4.1	Example(s)	690	A city which population is rapidly increasing due to rural migration and has limited access to funds may have a waste collection system that covers less than 100% of the population due to 'economic' reasons.
1.4.2	Consideration(s)	700	Regard solid waste adequately disposed as all waste that is sent to authorised recycling, composting and/or incineration facilities, landfills or other authorised destinations.
1.4.2	Consideration(s)	710	Consider open dump as a disposal site where solid waste is disposed of in a manner that disregards environment and public health standards.
1.4.2	Consideration(s)	720	The percentage should be obtained by dividing the amount of the solid waste being evaluated by the total amount of solid waste collected.
1.4.2	Consideration(s)	730	Large waste generators are those that produce significant quantities of non-hazardous and/or hazardous waste (e.g. industries, hospitals, construction companies, laboratories, etc.).
1.4.2	Consideration(s)	740	For spare capacity provision, the answer should consider if the current system can accommodate the anticipated growth in demand within the planned future.
1.4.3	Consideration(s)	750	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.4.3	Consideration(s)	760	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the solid waste management, including the coordination of the different stakeholders.
1.4.3	Example(s)	770	Within a city it is possible to have a private solid waste collection company that collects the industrial waste, 'monitored' by the local government, and delivers it in a municipal landfilled 'controlled and operated' by the city to be disposed.
1.4.4	Consideration(s)	780	Note that the solid waste collection system should provide a reliable and regular service, taking into consideration the solid waste generation rate, public health and environmental issues.
1.4.4	Consideration(s)	790	The assessment should consider number of disruptions and corresponding times, as well as sensitive network components which are more likely to cause interruptions.
1.4.4	Consideration(s)	800	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the city.
1.4.4	Example(s)	810	A city where the waste collection system fails for several consecutive days affecting the quality of life of the population and the public health should be considered as 'significant disruptions'.
1.4.4	Example(s)	820	When a city's waste incineration plant is out of service for several days but, due to its stocking capacity, does not affect the waste collection system, the level of impact of the disruptions can be considered as 'no major disruptions'.
1.4.5	Consideration(s)	830	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
1.4.5	Consideration(s)	840	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
1.4.5	Consideration(s)	850	The developments can encompass institutional (e.g. new policies), operational (e.g. better management) and/or infrastructural (e.g. new waste treatment facility) measures.
1.4.5	Example(s)	860	A city that is launching a public tender for the construction of a new waste incinerator plan, based on the development plan, whilst updating the development plan schedule, is categorised as 'under implementation, with regular monitoring and revision'.
1.4.5	Example(s)	870	A plan that does not include the elements cited in the description, or if the plan is still in its conceptual or feasibility study stage, will be considered as 'under development'.
1.4.6	Consideration(s)	880	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the solid waste network should be explicit.
1.4.6	Consideration(s)	890	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
1.4.6	Example(s)	900	If the city is establishing contractual agreements with a solid waste incineration plant from another city in case the city's plant is out of service for several consecutive days surpassing the stocking capacity, has a contingency plan 'under development'.
1.4.6	Example(s)	910	If the only available document is a national plan, but the relevant local actors have not been informed and responsibilities assigned, it should be considered as 'developed but not implemented', and the 'national' level should be selected.
1.5	General Consideration(s)	920	Take into account the different available mechanisms (e.g. dedicated telephone lines, alarms, etc.), and the specific needs for the different hazards, according to the extent of the potential impact and the urgency for evacuation, for example.
1.5	General Consideration(s)	930	Both privately- and publicly-operated services should be considered (e.g., from fire departments, rescue services, etc.).
1.5.1.1	Consideration(s)	940	The different spheres and responsibilities within the local government and third-party stakeholders should be taken into account. For example, only certain government departments or specific areas of the city need to be notified of particular occurrences.
1.5.1.1	Consideration(s)	950	An early warning system usually includes risk analysis; monitoring and warning; dissemination and communication; and a response capability - normally comprising event detection mechanisms and message broker subsystems.
1.5.1.1	Consideration(s)	960	A dedicated emergency network entails means of communication which can be used by the local government and emergency teams in case of events where usual communication channels face disruptions.
1.5.1.1	Consideration(s)	970	The provision for people not speaking the official languages should be considered.
1.5.1.1	Example(s)	980	An earthquake-prone city can have sirens installed in light poles in order to notify residents in case of seismic activities as its general public alert mechanism.
1.5.1.1	Example(s)	990	Emergency lines can be available for the population to inform the local government regarding occurrences in their neighbourhood, being directed to the responsible department(s).
1.5.1.2	Consideration(s)	1000	The different levels of jurisdiction of the local government over the different components of the system can be considered separately. The different spheres and responsibilities within the local government and third-party stakeholders should be taken into account. For example, only certain government departments or specific areas of the city need to be notified of particular occurrences.
1.5.1.2	Consideration(s)	1010	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the emergency and alert system(s), including the coordination of the different stakeholders.
1.5.1.2	Example(s)	1020	A city can 'fully control and operate' the alert systems in case of flooding, whilst just being 'informed' on the emergency procedures for an industrial complex.
1.5.1.3	Consideration(s)	1030	The different alert system(s) should be considered separately.
1.5.1.3	Consideration(s)	1040	The different spheres and responsibilities within the local government and third-party stakeholders should be taken into account. For example, only certain government departments or specific areas of the city need to be notified of particular occurrences.
1.5.1.3	Consideration(s)	1050	Upgrades can be considered with the introduction of new technologies or resources, and particularly after the occurrence of events if issues were identified in the system operation.
1.5.1.3	Example(s)	1060	If tests are conducted in order to verify the quality of the system, and improvements are applied based on feedback received, the system is 'tested and upgraded periodically'.
1.5.1.4	Consideration(s)	1070	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
1.5.1.4	Consideration(s)	1080	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
1.5.1.4	Consideration(s)	1090	The developments can encompass institutional (e.g. new standards), operational (e.g. conduction of tests) and/or infrastructural (e.g. installation of new alarms) measures.
1.5.1.4	Example(s)	1100	A city currently installing phone lines to provide secure access to communication during emergencies, in accordance to a development plan, would have it as 'under implementation'.
1.5.1.4	Example(s)	1110	A plan that does not include the elements cited in the description, or if the plan is still in its conceptual or feasibility study stage, will be considered as 'under development'.
1.5	General Consideration(s)	1120	The different means, both fixed and mobile, of accessing internet should be included in the assessment.
1.5.2.1	Consideration(s)	1130	All locations of internet access should be considered, including offices, cyber cafes, libraries, etc. Regard both fixed and mobile internet access means including computers, smart phones, video game consoles, etc.
1.5.2.1	Consideration(s)	1140	The percentages should be obtained by dividing the population considered by the total population.
1.5.2.1	Example(s)	1150	It is possible to have a total percentage of 80% of internet users where 15% of them access internet by going to cyber cafes, 25% have a computer with internet access at home and 40% access internet via mobile devices.
1.5.2.2	Consideration(s)	1160	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.5.2.2	Consideration(s)	1170	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the internet services, including the coordination of the different stakeholders.
1.5.2.2	Example(s)	1180	When an internet provider has to develop its network following a city plan it is considered that the city 'exerts control' over the internet provider.
1.5.2.3	Consideration(s)	1190	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the city.
1.5.2.4	Consideration(s)	1200	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
1.5.2.4	Consideration(s)	1210	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
1.5.2.4	Consideration(s)	1220	The developments can encompass institutional (e.g. new standards), operational (e.g. conduction of tests) and/or infrastructural (e.g. new technologies) measures.
1.5.2.4	Example(s)	1230	For a city that is increasing the population access to internet by installing computers in public libraries, based on the development plan, whilst assessing the population engagement, the plan is categorised as 'under implementation, with regular monitoring and revision'.
1.5.2.4	Example(s)	1240	A plan that does not include the elements cited in the description, or if the plan is still in its conceptual or feasibility study stage, will be considered as 'under development'.
1.5.2.5	Consideration(s)	1250	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the internet services should be explicit.
1.5.2.5	Consideration(s)	1260	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
1.5.2.5	Example(s)	1270	If a plan has been elaborated specifing that the local government should acquire a portable satellite internet system for emergency situations, but due to budget restrictions it has failed to do so, it is considered as 'developed but not implemented'.
1.5.2.5	Example(s)	1280	If the only available document is a national plan, but the relevant local actors have not been informed and responsibilities assigned, it should be considered as 'developed but not implemented', and the 'national' level should be selected.
1.5	General Consideration(s)	1290	There is a particular interest in understanding how population can access and provide information, or communicate in case of emergencies.
1.5.3.1	Consideration(s)	1300	Coverage data should include, ideally, people that have indirect access to phones (e.g. by public or communal phones or direct relatives).
1.5.3.1	Consideration(s)	1310	Information can be provided either by covered area or share of the population with access to the service, depending on the particularities of the city.
1.5.3.1	Example(s)	1320	A city that has 80% of its population with landlines, and the other 20% with access to it via communal facilities, would have a 100% landline coverage.
1.5.3.2	Consideration(s)	1330	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.5.3.2	Consideration(s)	1340	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the phone network, including the coordination of the different stakeholders.
1.5.3.2	Consideration(s)	1350	This data will serve to understand if the local government can enforce improvements of infrastructure to cover unserved areas, for example.
1.5.3.2	Example(s)	1360	If the telecom companies are all private, however local government is able to negotiate location of infrastructure, it "exerts influence" over the decision-making.
1.5.3.3	Consideration(s)	1370	Dropped-call rate is the fraction of phone calls that are cut off before the speakers can finalise their conversation. It is usually measured in terms of percentage of the total calls.
1.5.3.3	Consideration(s)	1380	Call failure rate is the portion of phone calls that are not completed, i.e., are not connected. It is usually given in terms of percentage of total calls.
1.5.3.3	Consideration(s)	1390	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the service.
1.5.3.4	Consideration(s)	1400	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
1.5.3.4	Consideration(s)	1410	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
1.5.3.4	Consideration(s)	1420	The developments can include institutional (e.g. new policies), operational (e.g. improve service quality) and/or infrastructural (e.g. extension of the network coverage) measures.
1.5.3.4	Consideration(s)	1430	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
1.5.3.4	Example(s)	1440	A city enforcing service quality and has established a new set of regulation in this regard, based on a development plan, would have a strategy that is 'under implementation'.
1.5.3.4	Example(s)	1450	A regional plan soon to be implemented, which includes particular upgrades for the phone network in the study city, would be considered as "developed but not implemented" and the "local" scale should be selected.
1.5.3.5	Consideration(s)	1460	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the phone network should be explicit.
1.5.3.5	Consideration(s)	1470	The plan can include the use of alternative means of providing phone coverage, such as mobile antennas, or other means of communicating with the population in case phone systems are non-operational.
1.5.3.5	Consideration(s)	1480	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
1.5.3.5	Example(s)	1490	If the plan has been elaborated, alternatives have been verified, defined roles and responsibilities have been assigned and informed, it is considered as 'implemented'.
1.5.3.5	Example(s)	1500	If the only available document is a national plan, but local suppliers of equipment are not available, it should be considered as 'developed but not implemented', and the 'national' level should be selected.
1.5	General Consideration(s)	1510	There is a particular interest in population access to television channels and radio stations that can broadcast announcements of public concern, and areas with limited access to other telecommunication means.
1.5.4.1	Consideration(s)	1520	Coverage data should be based on free-to-air television channels and radio stations.
1.5.4.1	Consideration(s)	1530	Information can be given in terms of fraction (or total amount) of population of access to the service(s), or portion of the city covered by the network(s).
1.5.4.1	Consideration(s)	1540	Cases where people share television and/or radios in communal facilities should also be included in the assessment.
1.5.4.1	Example(s)	1550	A city that has 50% of its population with television at home, and the other 50% with access to it via communal facilities, would have a 100% coverage of this medium.
1.5.4.1	Example(s)	1560	There are cases where radio stations are broadcasted from public loudspeakers at commercial centers, reaching a greater percentage of the population.
1.5.4.2	Consideration(s)	1570	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.5.4.2	Consideration(s)	1580	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the television and radio operators, including the coordination of the different stakeholders.
1.5.4.2	Example(s)	1590	The local government can have its own TV channel, controlling its programme schedule, hence 'fully controlling and operating' it.
1.5.4.2	Example(s)	1600	The local government can use a privately owned radio for announcements of public interest, periodically or in the case of specific events, hence 'exerts influence' over its operation.
1.5.4.3	Consideration(s)	1610	The aim of this assessment is to verify if signal strenght and quality are sufficient to provide an adequate broadcast of these media.
1.5.4.3	Consideration(s)	1620	The answer should take into account the local context in terms of 'normal circumstances', and how eventual disruptions can affect the usual functioning of the network(s).
1.5.4.3	Example(s)	1630	Areas where free-to-air television channels reach but signal is not strong enough in order to provide clear image and sound should be considered as not having satisfactory signal levels.
1.5.4.4	Consideration(s)	1640	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.
1.5.4.4	Consideration(s)	1650	This entails all relevant local government entities and the coordination and engagement of the different stakeholders. The evaluation of available funding options (public and/or private) is of particular relevance for the economic sustainability of the plan.
1.5.4.4	Consideration(s)	1660	The developments can include institutional (e.g. new policies), operational (e.g. enhance coordination with different channels) and/or infrastructural (e.g. extension of the network coverage) measures.
1.5.4.4	Consideration(s)	1670	Take into account the relevance of regional and national level development plans in the local context and select the most appropriate spatial level for which the plan was developed.
1.5.4.4	Example(s)	1680	A national plan soon to be implemented, encompassing the installation of new TV broadcasting antennas in newly-developed areas in the country, which will provide coverage to a previously unattended neighbourhood of the city, would be categorised as "developed but not implemented", and the "national" scale should be selected.
1.5.4.4	Example(s)	1690	A plan that does not include the elements cited in the description, or if the plan is still in its conceptual or feasibility study stage, will be considered as 'under development'.
1.5.4.5	Consideration(s)	1700	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding the television and radio networks should be explicit.
1.5.4.5	Consideration(s)	1710	The plan can include the use of alternative means of ensuring appropriate signal strenght, such as mobile antennas, or other means of communicating with the population in case TV/radio systems are non-operational.
1.5.4.5	Consideration(s)	1720	Take into account the relevance of regional and national level contingency plans in the local context and select the most appropriate spatial level for which the plan was developed.
1.5.4.5	Example(s)	1730	If the plan has been elaborated and alternatives for contacting the population in the case of emergencies have been verified, it is considered as 'implemented'.
1.5.4.5	Example(s)	1740	If the only available document is a regional plan, but local suppliers of equipment are not available, it should be considered as 'developed but not implemented', and the 'regional' level should be selected.
1.6	General Consideration(s)	1750	Wastewater is considered as the effluents from one or more of the following sources: houses, industry, commerce, institutions (e.g. hospital, schools, government buildings, etc.), storm-water and other urban run-off and agriculture.
1.6	General Consideration(s)	1760	An improved sanitation facility is defined as one that hygienically separates human excreta from human contact, such as sewer pipelines, septic tanks, pit latrines and other on-site sewerage facilities.
1.6	General Consideration(s)	1770	Consider wastewater collection as a piped network which collects and conducts wastewater from the generation point to the final destination (ideally a wastewater treatment plant).
1.6	General Consideration(s)	1780	All private and public wastewater collection and treatment systems should be included in the assessment.
1.6.1	Consideration(s)	1790	Population data can be given in terms of fraction of the considered population in relation to total population, or regarding area of the city covered.
1.6.1	Consideration(s)	1800	Consider on-site wastewater systems as sanitation systems that are not connected to a piped network such as septic tanks, pit latrines, pour-flush toilets, composting latrines, etc..
1.6.1	Consideration(s)	1810	For spare capacity provision, the answer should consider if the current system can accommodate the anticipated growth in demand within the planned future.
1.6.1	Example(s)	1820	If 25% of the population has access to septic tanks and the remaining 75% is connected to the municipal network, the population with access to improved sanitation facilities will be 100%.
1.6.2	Consideration(s)	1830	Consider wastewater treatment as the process that improves and purifies the water, removing some or all of the contaminants, transforming it into an effluent that can be reused or returned to the water cycle with minimal environmental impact.
1.6.2	Consideration(s)	1840	The percentage should be obtained by dividing the amount of the wastewater being evaluated by the total amount of wastewater collected.
1.6.2	Consideration(s)	1850	Large waste generators are those that produce significant quantities of non-hazardous and/or hazardous waste (e.g. industries, hospitals, construction companies, laboratories, etc.).
1.6.2	Consideration(s)	1860	For spare capacity provision, the answer should consider if the current system can accommodate the anticipated growth in demand within the planned future.
1.6.3	Consideration(s)	1870	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
1.6.3	Consideration(s)	1880	This entails all relevant local government entities, and their competences to perform the management of institutional, operational and infrastructural aspects of the wastewater system, including the coordination of the different stakeholders.
1.6.3	Example(s)	1890	A city can 'fully control and operate' a municipal wastewater collection system while only 'exerting influence' over a private company operating a wastewater treatment plant.
1.6.4	Consideration(s)	1900	The wastewater collection system should provide a reliable and regular service preventing service interruptions and failures that can result in overflows or discharges of untreated wastewater.
1.6.4	Consideration(s)	1910	The assessment should consider number of disruptions and corresponding times, as well as sensitive network components which are more likely to cause interruptions.
1.6.4	Consideration(s)	1920	The answer should take into account the local context in terms of ´normal circumstances´, and how eventual disruptions can affect the usual functioning of the city.
1.6.4	Example(s)	1930	A city where the wastewater collection system is obstructed for several days in a year, causing overflows that affect the quality of life of the population and public health, should be considered as 'significant disruptions'.
