Code	Short Name	Long Name (hover)	Description	Parent	Next	ORDER	Dimension	Data Sources	Units	[+]	[+] comment
2.1.2		Built-Up Area	A building's built-up area is the horizontal projection of the building, therefore a building with a single story has the same built-up area as a multi-story one if they occupy the same land area.	2.1	2.1.3	660	Physical	#N/A	0	No	
2.1.3		Public Open Spaces	Data regarding public open spaces can be given in relative numbers (i.e., as a percentage in relation to the city area), or in absolute numbers (i.e., area occupied).	2.1	2.1.4	670	Physical	#N/A	Y	No	
2.1.4		Land Tenure	Land tenure is the relationship, whether legally or customarily defined, among people, as individuals or groups, with respect to land, determining how land is used, possessed, sold, or in other ways disposed.	2.1	2.1.5	680	Physical	#N/A	0	Yes	Specify the different types of land tenure in the city considering different usages, where applicable.
2.1.5		Local Government Jurisdiction	The different levels of jurisdiction of the local government (e.g. issuing regulation, granting permits and licenses, inspecting usage conditions, etc.) over the different components of the land usage should be considered separately.	2.1	2.1.6	690	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government (e.g. issuing regulation, granting permits and licenses, inspecting usage conditions, etc.) over the different components of the land usage should be considered separately.
2.1.6		Land-Use Plan	The plan should define land-use options, determining land set aside for parks and open space, residential areas, commercial and industrial uses, mixed-use areas, etc. It should also take into consideration socio-economic and environmental aspects.	2.1	2.1.6.1	700	Functional	#N/A	0	No	
2.1.7		Enforcement of Standards	Enforcement mechanisms should encompass adequate penalties for violations of the laws and regulations.	2.1	2.2	710	Functional	#N/A	0	No	
2.2		Commercial Facilities		2	2.2.1	720	0	Local government, surveys, commercial associations	0	No	
2.2.1		Construction Typologies	Building codes are a set of regulation enacted by a governmental entity that defines a set of minimum requirements for building design, construction and operation. Building codes should contain functional requirements and performance criteria that address safety, health, structural integrity, environment, mechanical integrity, fire prevention and control, energy conservation and requisites for applicable natural hazards (earthquakes, tsunamis, floods, etc.)	2.2	2.2.1.1	730	Physical	#N/A	0	No	
2.3		Housing		2	2.3.1	740	0	Local government, surveys, housing associations	0	No	
2.3.1		Construction Typologies	Building codes are a set of regulation enacted by a governmental entity that defines a set of minimum requirements for building design, construction and operation. Building codes should contain functional requirements and performance criteria that address safety, health, structural integrity, environment, mechanical integrity, fire prevention and control, energy conservation and requirements for applicable natural hazards (earthquakes, tsunamis, floods, etc.).	2.3	2.3.1.1	750	Physical	#N/A	0	No	
2.3.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different tenures arrangements and types of residential dwellings can be considered separately (e.g. social housing, cooperate housing, private condominiums, rental houses)	2.3	2.3.3	760	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different tenures arrangements and types of residential dwellings can be considered separately (e.g. social housing, cooperate housing, private condominiums, rental houses)
2.3.3		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	2.3	2.3.3.1	770	Functional	#N/A	0	No	
2.3.4		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It is often multi-sectoral, but particularities regarding housing should be explicit.	2.3	2.3.4.1	780	Functional	#N/A	0	No	
2.4		Industrial Facilities		2	2.4.1	790	0	Local government, surveys, industrial associations	0	No	
2.4.1		Construction Typologies	Building codes are a set of regulation enacted by a governmental entity that defines a set of minimum requirements for building design, construction and operation. Building codes should contain functional requirements and performance criteria that address safety, health, structural integrity, environment, mechanical integrity, fire prevention and control, energy conservation and requirements for applicable natural hazards (earthquakes, tsunamis, floods, etc.). Note that industries have additional building requirements according to their potentially hazardous activities (e.g. oil spills, explosion, radiation, contamination).	2.4	2.4.1.1	800	Physical	#N/A	0	No	
2.5		Public Facilities		2	2.5.1	810	0	Local government	0	No	
2.5.1		Construction Typologies	It is possible to provide data separately for each public facility category (e.g. hospitals, schools, concert halls, government buildings) or by regarding all public facilities without distinctions.	2.5	2.5.1.1	820	Physical	#N/A	0	No	
2.6		Public Infrastructure		2	2.6.1	830	0	Local government, infrastructural companies	0	No	
2.6.1		Construction Typologies	It is possible to provide data separately for each public infrastructure category or by regarding all public infrastructure without distinctions.	2.6	2.6.1.1	840	Physical	#N/A	0	No	
3		Economy		0	3.1	850	0	Statistical institutions, surveys, company(ies), local government	0	No	
3.1		Market Share		3	3.1.1	860	0	#N/A	0	No	
3.2		Primary Sector		3	3.2.1	870	0	#N/A	0	No	
3.2.1		Local Government Jurisdiction	The general level of influence of the government over the companies within the particular sector should be considered.	3.2	3.2.2	880	Organisational	#N/A	0	No	
3.2.2		Continuity of Operation	Different companies have distinct requirements to continue its operations, but a general perspective on the matter for each sector should be contemplated.	3.2	3.2.2.1	890	Functional	#N/A	0	No	
3.2.3		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	3.2	3.2.3.1	900	Functional	#N/A	0	No	
3.2.4		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It can be multi-sectoral, but particularities regarding the recovery of economy activities should be explicit.	3.2	3.2.4.1	910	Functional	#N/A	0	No	
3.3		Secondary Sector		3	3.3.1	920	0	#N/A	0	No	
3.3.1		Local Government Jurisdiction	The general level of influence of the government over the companies within the particular sector should be considered.	3.3	3.3.2	930	Organisational	#N/A	0	No	
3.3.2		Continuity of Operation	Different companies have distinct requirements to continue its operations, but a general perspective on the matter for each sector should be contemplated.	3.3	3.3.2.1	940	Functional	#N/A	0	No	
3.3.3		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	3.3	3.3.3.1	950	Functional	#N/A	0	No	
3.3.4		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It can be multi-sectoral, but particularities regarding the recovery of economy activities should be explicit.	3.3	3.3.4.1	960	Functional	#N/A	0	No	
3.4		Tertiary Sector		3	3.4.1	970	0	#N/A	0	No	
3.4.1		Local Government Jurisdiction	The general level of influence of the government over the companies within the particular sector should be considered.	3.4	3.4.2	980	Organisational	#N/A	0	No	
3.4.2		Continuity of Operation	Different companies have distinct requirements to continue its operations, but a general perspective on the matter for each sector should be contemplated.	3.4	3.4.2.1	990	Functional	#N/A	0	No	
3.4.3		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	3.4	3.4.3.1	1000	Functional	#N/A	0	No	
3.4.4		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It can be multi-sectoral, but particularities regarding the recovery of economy activities should be explicit.	3.4	3.4.4.1	1010	Functional	#N/A	0	No	
3.5		Main Economic Activity(ies)	Assess the most important economic activity(ies) conducted in the city, in terms of employment or revenue share, or any other factor that is locally relevant.	3	3.5.1	1020	0	#N/A	0	Yes	Data for the indicators below should be provided separately for each one of the activity(ies) selected as being relevant by the local government.
3.5.1		Employment Share		3.5	3.5.2	1030	Physical	#N/A	Y	No	
3.5.2		GDP Share	Employment data can be provided in terms of percentage of population working for each sector in relation to the total labour force, or the total amount of employees working for each sector. Information should be specified by gender.	3.5	3.5.3	1040	Physical	#N/A	Y	No	
3.5.3		Local Government Jurisdiction	The general level of influence of the government over the companies within the particular sector should be considered.	3.5	3.5.4	1050	Organisational	#N/A	0	No	
3.5.4		Continuity of Operation	Different companies have distinct requirements to continue its operations, but a general perspective on the matter for each sector should be contemplated.	3.5	3.5.2.1	1060	Functional	#N/A	0	No	
3.5.5		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	3.5	3.5.3.1	1070	Functional	#N/A	0	No	
3.5.6		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means. It can be multi-sectoral, but particularities regarding the recovery of economy activities should be explicit.	3.5	3.5.4.1	1080	Functional	#N/A	0	No	
4		Environment		0	4.1	1090	0	#N/A	0	No	
4.1		Air		4	4.1.1	1100	0	Air quality monitoring entities, environmental agencies, meteorological institutes, local government	0	No	
4.1.1		Air Quality	Concentration data is usually given in μg/m3 or ppm.	4.1	4.1.1.1	1110	Functional	#N/A	0	No	
4.1.1.1		Particulate matter (PM10) concentration		4.1.1	4.1.1.1.1	1120	Functional	#N/A	0	No	
4.1.1.2		Fine particulate matter (PM2.5) concentration		4.1.1	4.1.1.2.1	1130	Functional	#N/A	0	No	
4.1.1.3		Nitrogen dioxide (NO2) concentration		4.1.1	4.1.1.3.1	1140	Functional	#N/A	0	No	
4.1.1.4		Sulphur dioxide (SO2) concentration		4.1.1	4.1.1.4.1	1150	Functional	#N/A	0	No	
4.1.1.5		Ground level ozone (O3) concentration		4.1.1	4.1.1.5.1	1160	Functional	#N/A	0	No	
4.1.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	4.1	4.1.3	1170	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
4.1.3		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	4.1	4.1.3.1	1180	Functional	#N/A	0	No	
4.1.4		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means.	4.1	4.1.4.1	1190	Functional	#N/A	0	No	
4.2		Blue		4	4.2.1	1200	0	Water body management company(ies), environmental company(ies), local government	0	Yes	The different water bodies and/or water body types (e.g. rivers, lakes, etc.) can be considered separately.
4.2.1		Characterisation	Note that it is possible for the same water body to have more than one usage.	4.2	4.2.1.1	1210	Physical	#N/A	0	No	
4.2.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	4.2	4.2.3	1220	Organisational	#N/A	0	No	
4.2.3		Operation and Maintenance	The different plans for different objectives (e.g. removal of waste, water quality monitoring) can be considered separately.	4.2	4.2.3.1	1230	Functional	#N/A	0	No	
4.2.4		Development Plan	The different plans for different objectives (e.g. removal of waste, water quality monitoring) can be considered separately.	4.2	4.2.4.1	1240	Functional	#N/A	0	No	
4.2.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means.	4.2	4.2.5.1	1250	Functional	#N/A	0	No	
4.3		Green		4	4.3.1	1260	0	Environmental agencies, surveys, local government	0	No	
4.3.1		Population Access and Coverage	For green spaces and protected areas, data is usually given in hectare (ha) or sq. kilometres (km2), or as a percentage of the total city area.	4.3	4.3.1.1	1270	Physical	#N/A	0	No	
4.3.2		Local Government Jurisdiction	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.	4.3	4.3.3	1280	Organisational	#N/A	0	Yes	The different levels of jurisdiction of the local government over the different components of the system can be considered separately.
4.3.3		Operation and Maintenance	The different plans for different objectives (e.g. trimming of trees, pruning of shrubs, cleaning of green spaces), green spaces and/or types of green spaces (e.g. national parks, urban gardens, forests) can be considered separately.	4.3	4.3.4	1290	Functional	#N/A	0	Yes	The different plans for different objectives (e.g. trimming of trees, pruning of shrubs, cleaning of green spaces), green spaces and/or types of green spaces (e.g. national parks, urban gardens, forests) can be considered separately.
4.3.4		Development Plan	The different plans for different green spaces, objectives (e.g. urban reforestation, implementation of a network of urban gardens) and/or types of green spaces (e.g. national parks, forests, urban parks) can be considered separately.	4.3	4.3.4.1	1300	Functional	#N/A	0	Yes	The different plans for different green spaces, objectives (e.g. urban reforestation, implementation of a network of urban gardens) and/or types of green spaces (e.g. national parks, forests, urban parks) can be considered separately.
4.3.5		Contingency Plan	The different plans for different green spaces, objectives (e.g. cleaning of green spaces, implementation of flood retention structures) and/or types of green spaces (e.g. national parks, urban gardens, forests) can be considered separately.	4.3	4.3.5.1	1310	Functional	#N/A	0	Yes	The different plans for different green spaces, objectives (e.g. cleaning of green spaces, implementation of flood retention structures) and/or types of green spaces (e.g. national parks, urban gardens, forests) can be considered separately.
5		Governance		0	5.1	1320	0	#N/A	0	No	
5.1		Local Government		5	5.1.1	1330	0	Census, local government	0	No	
5.1.1		Population Access to Municipal Services	Municipal Services coverage data is usually given in terms of the fraction of the population that lives within a 15-minute walking distance (arround 1000m) from municipal facilities where services are provided to the general population or by the corresponding city area where that population lives.	5.1	5.1.1.1	1340	Physical	#N/A	0	No	
5.1.2		Representativeness	Data regarding local public officials should be specified by gender.	5.1	5.1.2.1	1350	Physical	#N/A	0	No	
5.1.3		Good Governance	Local government financial reports should include local revenues (e.g. local taxes, license and services fees, etc.) and expenditures (e.g. salaries and wages, health and education expenditures, public works, etc.).	5.1	5.1.3.1	1360	Functional	#N/A	0	No	
5.1.4		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	5.1	5.1.5	1370	Functional	#N/A	0	No	
5.1.5		Contingency Plan	A contingency plan is usually drawn on a risk assessment, and defines preparedness, mitigation, response and recovery measures in case of emergencies. It commonly assigns and defines roles and responsibilities, communication strategies, technical procedures, and, ideally, includes associated financing means.	5.1	5.2	1380	Functional	#N/A	0	No	
5.2		Private Sector		5	5.2.1	1390	0	Private sector associations, local government	0	No	
5.2.1		Representativeness	Data can be given in relative terms, i.e. percentage of economic activities represented by associations, or in absolute terms.	5.2	5.2.2	1400	Physical	#N/A	0	No	
5.2.2		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	5.2	5.2.2.1	1410	Functional	#N/A	0	No	
5.3		Civil Society		5	5.3.1	1420	0	Civil society organizations, local government	0	No	
5.3.1		Representativeness	Neighbourhood associations data can be given in terms of fraction of the neighbourhoods with representative associations in relation to total neighbourhoods, or regarding area of the city with representative associations.	5.3	5.3.1.1	1430	Physical	#N/A	0	No	
5.3.2		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	5.3	5.3.2.1	1440	Functional	#N/A	0	No	
5.4		Other Major Institutions		5	5.4.1	1450	0	Institutions, local government	0	Yes	The different institutions should be considered separately.
5.4.1		Coverage	Institution's target data should specify the relevant issue addressed by the institution's action and give information on the population and/or the city's area targeted.	5.4	5.4.1.1	1460	Physical	#N/A	0	No	
5.4.2		Development Plan	A plan usually contains the definition of vision and objectives, roles and resources, institutional and technical arrangements and, ideally, associated financing means.	5.4	5.4.2.1	1470	Functional	#N/A	0	No	
6		Public Services		0	6.1	1480	0	#N/A	0	No	
6.1		Education		6	6.1.1	1490	0	Schools, universities, surveys, local government	0	No	
